{\rtf1\ansi\ansicpg1252\cocoartf2867
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 Accident_ID,Severity,Date,Time,Day_of_Week,Weather,Road_Condition,Latitude,Longitude,Contributing_Factor\
ACC_001,3,2026-01-01,08:30,Thursday,Rainy,Wet,34.0522,-118.2437,Speeding\
ACC_002,2,2026-01-01,17:15,Thursday,Clear,Dry,34.0530,-118.2445,Distracted Driving\
ACC_003,1,2026-01-02,12:00,Friday,Cloudy,Dry,34.0545,-118.2460,Right of Way\
ACC_004,4,2026-01-02,23:45,Friday,Foggy,Wet,34.0510,-118.2410,Fatigue\
ACC_005,2,2026-01-03,09:10,Saturday,Clear,Dry,40.7128,-74.0060,Distracted Driving\
ACC_006,3,2026-01-03,18:30,Saturday,Rainy,Wet,40.7135,-74.0075,Speeding\
ACC_007,2,2026-01-04,14:20,Sunday,Cloudy,Dry,40.7150,-74.0090,Inexperience\
ACC_008,1,2026-01-04,10:00,Sunday,Clear,Dry,40.7110,-74.0040,Right of Way\
ACC_009,3,2026-01-05,07:45,Monday,Snow,Icy,41.8781,-87.6298,Speeding\
ACC_010,2,2026-01-05,16:50,Monday,Cloudy,Wet,41.8795,-87.6310,Distracted Driving\
ACC_011,2,2026-01-06,08:15,Tuesday,Clear,Dry,41.8810,-87.6330,Right of Way\
ACC_012,4,2026-01-06,21:30,Tuesday,Snow,Icy,41.8760,-87.6270,DUI\
ACC_013,1,2026-01-07,13:00,Wednesday,Clear,Dry,29.7604,-95.3698,Inexperience\
ACC_014,2,2026-01-07,15:45,Wednesday,Rainy,Wet,29.7615,-95.3710,Speeding\
ACC_015,3,2026-01-08,18:20,Thursday,Rainy,Wet,29.7625,-95.3725,Distracted Driving\
ACC_016,2,2026-01-08,06:30,Thursday,Clear,Dry,29.7590,-95.3680,Fatigue\
ACC_017,3,2026-01-09,17:55,Friday,Cloudy,Dry,33.7490,-84.3880,Speeding\
ACC_018,2,2026-01-09,11:10,Friday,Clear,Dry,33.7505,-84.3900,Distracted Driving\
ACC_019,4,2026-01-10,02:15,Saturday,Foggy,Wet,33.7520,-84.3920,DUI\
ACC_020,1,2026-01-10,14:40,Saturday,Clear,Dry,33.7470,-84.3860,Right of Way\
ACC_021,2,2026-01-11,10:30,Sunday,Clear,Dry,34.0522,-118.2437,Distracted Driving\
ACC_022,3,2026-01-11,19:20,Sunday,Rainy,Wet,34.0535,-118.2450,Speeding\
ACC_023,1,2026-01-12,08:45,Monday,Cloudy,Dry,34.0550,-118.2465,Right of Way\
ACC_024,2,2026-01-12,16:15,Monday,Clear,Dry,34.0515,-118.2420,Inexperience\
ACC_025,3,2026-01-13,07:30,Tuesday,Snow,Icy,40.7128,-74.0060,Speeding\
ACC_026,2,2026-01-13,18:45,Tuesday,Cloudy,Wet,40.7140,-74.0080,Distracted Driving\
ACC_027,4,2026-01-14,22:10,Wednesday,Snow,Icy,40.7160,-74.0100,DUI\
ACC_028,2,2026-01-14,13:25,Wednesday,Clear,Dry,40.7115,-74.0050,Right of Way\
ACC_029,2,2026-01-15,08:50,Thursday,Foggy,Wet,41.8781,-87.6298,Fatigue\
ACC_030,3,2026-01-15,17:40,Thursday,Rainy,Wet,41.8790,-87.6305,Speeding\
ACC_031,1,2026-01-16,11:15,Friday,Clear,Dry,41.8805,-87.6325,Inexperience\
ACC_032,2,2026-01-16,19:05,Friday,Cloudy,Dry,41.8770,-87.6280,Distracted Driving\
ACC_033,3,2026-01-17,20:30,Saturday,Rainy,Wet,29.7604,-95.3698,Speeding\
ACC_034,2,2026-01-17,14:20,Saturday,Clear,Dry,29.7610,-95.3705,Right of Way\
ACC_035,4,2026-01-18,01:50,Sunday,Foggy,Wet,29.7630,-95.3730,DUI\
ACC_036,1,2026-01-18,10:10,Sunday,Clear,Dry,29.7585,-95.3675,Inexperience\
ACC_037,2,2026-01-19,08:20,Monday,Cloudy,Dry,33.7490,-84.3880,Distracted Driving\
ACC_038,3,2026-01-19,16:45,Monday,Rainy,Wet,33.7500,-84.3895,Speeding\
ACC_039,2,2026-01-20,07:55,Tuesday,Clear,Dry,33.7515,-84.3915,Right of Way\
ACC_040,4,2026-01-20,23:20,Tuesday,Snow,Icy,33.7465,-84.3855,Fatigue\
ACC_041,2,2026-01-21,12:40,Wednesday,Clear,Dry,34.0525,-118.2440,Distracted Driving\
ACC_042,3,2026-01-21,18:10,Wednesday,Rainy,Wet,34.0538,-118.2455,Speeding\
ACC_043,1,2026-01-22,09:15,Thursday,Cloudy,Dry,34.0555,-118.2470,Inexperience\
ACC_044,2,2026-01-22,17:35,Thursday,Clear,Dry,34.0505,-118.2405,Right of Way\
ACC_045,3,2026-01-23,07:15,Friday,Snow,Icy,40.7130,-74.0065,Speeding\
ACC_046,2,2026-01-23,16:00,Friday,Clear,Dry,40.7145,-74.0085,Distracted Driving\
ACC_047,4,2026-01-24,21:45,Saturday,Foggy,Wet,40.7165,-74.0105,DUI\
ACC_048,1,2026-01-24,11:30,Saturday,Clear,Dry,40.7120,-74.0045,Right of Way\
ACC_049,2,2026-01-25,13:50,Sunday,Cloudy,Dry,41.8785,-87.6300,Inexperience\
ACC_050,3,2026-01-25,18:05,Sunday,Rainy,Wet,41.8800,-87.6320,Speeding}
